% Model,rectangularwaveguide.mph
% Version,COMSOL 5.3.0.316
% Date,"Aug 9 2021, 15:53"
% Table,Probe Table 1 - 
% wvln (nm),lambda,Effective mode index (1)
1523,-5786602.423855419i,1.402631795973014
1523,-5788086.749116845i,1.4029915859939526
1524,-1.5745963120900762E-7-5753884.871899805i,1.3956170503299592-3.8192169455312844E-14i
1524,-3.0625619308866475E-8-5754195.079297101i,1.3956922917959327-7.428309296403445E-15i
1524,-5769820.381243749i,1.3994822421162447
1524,-5769820.512554695i,1.399482273965995
1524,-5778626.30947606i,1.4016181387945073
1524,-5778626.585227802i,1.4016182056786806
1524,-5780079.700492375i,1.401970661886005
1524,-5781394.309230574i,1.4022895230398849
1524,-5782553.366101553i,1.402570654756534
1524,-5784040.607328389i,1.402931388288806
1524.9999999999998,-2.176245608430096E-7-5749824.750909728i,1.3955473723534901-5.2819937511311544E-14i
1524.9999999999998,-8.310645469089621E-8-5750135.534086955i,1.395622802938793-2.0170874677727277E-14i
1524.9999999999998,-5765765.981746921i,1.3994164890258558
1524.9999999999998,-5765766.113358549i,1.3994165209694833
1524.9999999999998,-5774583.07655083i,1.4015564974641024
1524.9999999999998,-5774583.352034374i,1.4015565643270682
1524.9999999999998,-5776032.737272818i,1.4019083464854232
1524.9999999999998,-5777349.898402036i,1.402228036359894
1524.9999999999998,-5778509.4586494425i,1.402509474721315
1524.9999999999998,-5779999.619676885i,1.4028711536239462
1526,-2.872561876456386E-7-5745769.773101768i,1.395477651127291-6.976603759588475E-14i
1526,-1.6835949624954663E-7-5746081.132709111i,1.3955532711731107-4.088954546545665E-14i
1526,-5761716.721407992i,1.3993506935295807
1526,-5761716.853320122i,1.3993507255671382
1526,-5770544.988530348i,1.4014948186779819
1526,-5770545.263746197i,1.401494885519777
1526,-5771990.912858615i,1.4018459909603735
1526,-5773310.629693735i,1.4021665111729738
1526,-5774470.691372486i,1.4024482558669926
1526,-5775963.776038328i,1.4028108820014713
1527,-3.587865284095564E-7-5741719.928374773i,1.3954078866521715-8.719574580659863E-14i
1527,-3.028827767000233E-7-5742031.865062568i,1.3954836965000421-7.360947949579861E-14i
1527,-5757672.590132026i,1.3992848556278188
1527,-5757672.722344479i,1.399284887759358
1527,-5766512.035315256i,1.4014331024382132
1527,-5766512.310263911i,1.4014331692588744
1527,-5767954.217151094i,1.4017835953101783
1527,-5769276.493009429i,1.4021049474806198
1527,-5770437.054170599i,1.4023869981932007
1527,-5771933.066315229i,1.4027505734234775
1527.9999999999998,-4.191228769129801E-7-5737675.206654i,1.3953380789289325-1.0192596981242676E-13i
1527.9999999999998,-5.121966549556057E-7-5737987.7210727325i,1.3954140789207352-1.245604658365386E-13i
1527.9999999999998,-5753633.577850514i,1.3992189753209687
1527.9999999999998,-5753633.71036311i,1.3992190075465416
1527.9999999999998,-5762484.206832606i,1.4013713487468578
1527.9999999999998,-5762484.48151457i,1.401371415546422
1527.9999999999998,-5763922.6400780035i,1.4017211595341559
1527.9999999999998,-5765247.478279298i,1.4020433452843257
1527.9999999999998,-5766408.536970113i,1.4023257016995663
1527.9999999999998,-5767907.480436514i,1.402690227892057
1529,-4.4780788092651526E-7-5733635.597891033i,1.395268227958369-1.0897311100760432E-13i
1529,-8.359322194784594E-7-5733948.690691331i,1.3953444184363302-2.0342235683656413E-13i
1529,-5749599.674521294i,1.3991530526094316
1529,-5749599.80733385i,1.3991530849290892
1529,-5758461.493035786i,1.4013095576059735
1529,-5758461.767451559i,1.4013096243844778
1529,-5759896.171593429i,1.4016586836316227
1529,-5761223.5754598575i,1.401981704585584
1529,-5762385.129723692i,1.402264366385712
1529,-5763887.008357447i,1.4026298454093
1530,-4.150863808804972E-7-5729601.092063704i,1.3951983337412692-1.0107646547424327E-13i
1530,-1.33392065031946E-6-5729914.763896328i,1.3952747150479583-3.248190997531471E-13i
1530,-5745570.870128471i,1.3990870874936105
1530,-5745571.003240807i,1.3990871199074044
1530,-5754443.883904436i,1.401247729017614
1530,-5754444.158054519i,1.4012477957750957
1530,-5755874.801677716i,1.4015961676018929
1530,-5757204.774533888i,1.4019200253858881
1530,-5758366.822410262i,1.4022029922512587
1530,-5759871.640059546i,1.4025694259772947
1530.9999999999998,-2.8090338272065983E-7-5725571.679175992i,1.395128396278413-6.844666485786727E-14i
1530.9999999999998,-2.0947222687234897E-6-5725885.93069182i,1.3952049687567385-5.104130527335334E-13i
1530.9999999999998,-5741547.154682315i,1.399021079973909
1530.9999999999998,-5741547.288094249i,1.3990211124818903
1530.9999999999998,-5750431.369444348i,1.401185862983827
1530.9999999999998,-5750431.643329241i,1.401185929720323
1530.9999999999998,-5751858.520337369i,1.4015336114442767
1530.9999999999998,-5753191.065510333i,1.40185830768673
1530.9999999999998,-5754353.6050349i,1.4021415792958198
1530.9999999999998,-5755861.365550485i,1.4025089695981248
1532,6.937961942016426E-9-5721547.349257945i,1.3950584155705728+1.6916511571600763E-15i
1532,-3.2459068345730107E-6-5721862.181107949i,1.3951351795637774-7.914344440960374E-13i
1532,-5737528.518219189i,1.3989550300507325
1532,-5737528.651930537i,1.3989550626529519
1532,-5746423.939687391i,1.4011239595066554
1532,-5746424.213307594i,1.4011240262222033
1532,-5747847.31760498i,1.401471015158083
1532,-5749182.438424214i,1.4017965514895994
1532,-5750345.467628766i,1.402080127519006
1532,-5751856.174864024i,1.4024484762738727
1533,5.138748788241403E-7-5717528.092365594i,1.3949883916185133+1.253775196419636E-13i
1533,-4.966325139465829E-6-5717843.50520081i,1.3950653474701658-1.2117064938970191E-12i
1533,-5733514.950801458i,1.3988889377244884
1533,-5733515.084812039i,1.3988889704209966
1533,-5742421.584691426i,1.4010620185881384
1533,-5742421.858047437i,1.4010620852827758
1533,-5743841.1835391335i,1.401408378742617
1533,-5745178.883336556i,1.401734756795987
1533,-5746342.400249014i,1.4020186369204235
1533,-5747856.058059911i,1.4023879460066184
1533.9999999999998,1.3223004290002494E-6-5713513.898580866i,1.394918324422991+3.228312963871447E-13i
1533.9999999999998,-7.498544569349795E-6-5713829.893052352i,1.394995472476976-1.830722286137533E-12i
1533.9999999999998,-5729506.442517411i,1.398822802995585
