wvln,lambda,neff
1527,-5464521.178610396i,1.328040385900385
1527,-5471197.971301248i,1.3296630441447057
1527,-5612155.882696129i,1.363919988701406
1527,-5629777.835292454i,1.3682026447588014
1527,-5715868.212301616i,1.3891251544844623
1527,-5741167.552970286i,1.3952736430796133
1527,-5777402.379812802i,1.4040797784847294
1527,-5807247.25785534i,1.4113329672010446
1527.9999999999998,6.829477584151691E-6-5309684.568523458i,1.2912555693236358+1.660852137692827E-12i
1527.9999999999998,-3.1136514601223282E-9-5380360.785202199i,1.3084432303282378-7.572050160286022E-16i
1527.9999999999998,-5460322.448712531i,1.327889007569354
1527.9999999999998,-5467002.177662084i,1.3295134425233273
1527.9999999999998,-5608050.268890426i,1.3638147519496444
1527.9999999999998,-5625687.8099030005i,1.3681040035554126
1527.9999999999998,-5711826.174011215i,1.389051884912909
1527.9999999999998,-5737150.105036608i,1.3952103801213729
1527.9999999999998,-5773397.3137543155i,1.4040252936110817
1527.9999999999998,-5803272.076560958i,1.4112904999257814
1529,6.857962712102256E-6-5305482.754140394i,1.2910781291290985+1.6688708791048875E-12i
1529,-3.2905147960646567E-9-5376209.681726911i,1.3082893789962644-8.007398918523287E-16i
1529,-5456128.861649278i,1.3277375442391308
1529,-5462811.522040251i,1.329363755665122
1529,-5603949.797189486i,1.363709459660857
1529,-5621602.92416474i,1.3680053111798736
1529,-5707789.274801651i,1.3889785793051783
1529,-5733137.7969137225i,1.3951470891319422
1529,-5769397.3838218i,1.4039707837508233
1529,-5799302.034202388i,1.411248017860292
1530,6.88342311077892E-6-5301286.156571695i,1.2909006217866468+1.6761621446731104E-12i
1530,-2.86905226124851E-9-5372063.801479606i,1.308135478219921-6.986344895554966E-16i
1530,-5451940.407400096i,1.327585995925166
1530,-5458625.994424627i,1.3292139835855334
1530,-5599854.457575304i,1.363604111850762
1530,-5617523.168046131i,1.367906567643435
1530,-5703757.504657895i,1.38890523767627
1530,-5729130.618566868i,1.395083770121864
1530,-5765402.580001824i,1.4039162489179315
1530,-5795337.120744423i,1.4112055210145935
1530.9999999999998,6.90640505534883E-6-5297094.765734107i,1.290723047330178+1.682857598999551E-12i
1530.9999999999998,-2.7300615149967395E-9-5367923.134382011i,1.3079815280373812-6.652237639450819E-16i
1530.9999999999998,-5447757.075970635i,1.3274343626429117
1530.9999999999998,-5454445.58483036i,1.3290641263000327
1530.9999999999998,-5595764.240056053i,1.3634987085350798
1530.9999999999998,-5613448.5315418085i,1.3678077729573408
1530.9999999999998,-5699730.853591082i,1.3888318600411838
1530.9999999999998,-5725128.559987441i,1.3950204231016679
1530.9999999999998,-5761412.8923071185i,1.4038616891263855
1530.9999999999998,-5791377.326178014i,1.4111630093986889
1532,6.927386371388307E-6-5292908.571570398i,1.2905454057935148+1.6890725647088346E-12i
1532,-3.334099123187984E-9-5363787.670381818i,1.3078275284867322-8.129379617479019E-16i
1532,-5443578.857392662i,1.3272826444078267
1532,-6.915030934307242E-10-5450270.283298809i,1.328914183824126-1.686059995656124E-16i
1532,-5591679.134666009i,1.3633932497295347
1532,-5609379.004672515i,1.3677089271328309
1532,-5695709.311638461i,1.3887584464149274
1532,-5721131.6111929305i,1.394957048081873
1532,-5757428.31077653i,1.403807104390173
1532,-5787422.640520201i,1.4111204830225694
1533,6.946930670880954E-6-5288727.5640492765i,1.2903676972104063+1.6949435991748654E-12i
1533,-3.219632902092595E-9-5359657.399452592i,1.3076734796059764-7.8554061320474E-16i
1533,-5439405.741723962i,1.327130841235371
1533,-5446100.079897439i,1.328764156173349
1533,-5587599.131465469i,1.3632877354498545
1533,-5605314.577485016i,1.3676100301811407
1533,-5691692.868863285i,1.3886849968125108
1533,-5717139.762226823i,1.3948936450729872
1533,-5753448.825474902i,1.4037524947232836
1533,-5783473.053814019i,1.4110779418962143
1533.9999999999998,6.964689383223261E-6-5284551.733165298i,1.2901899216145256+1.700384914961957E-12i
1533.9999999999998,-2.9570644840322886E-9-5355532.31159368i,1.3075193814330246-7.219486131470859E-16i
1533.9999999999998,-5435237.719048267i,1.3269789531410099
1533.9999999999998,-5441934.964719744i,1.3286140433632683
1533.9999999999998,-5583524.220540651i,1.363182165711768
1533.9999999999998,-5601255.240051999i,1.3675110821134981
1533.9999999999998,-5687681.5153547395i,1.3886115112489492
1533.9999999999998,-5713153.003158518i,1.3948302140855051
1533.9999999999998,-5749474.426493018i,1.403697860139714
1533.9999999999998,-5779528.556128405i,1.411035386029587
1535,6.981405169062037E-6-5280381.0689387955i,1.290012079039474+1.7055770936184753E-12i
1535,-3.4616224537302763E-9-5351412.396830139i,1.3073652340057047-8.456841883352489E-16i
1535,-5431074.779475161i,1.3268269801402117
1535,-5437774.927885174i,1.328463845409485
1535,-5579454.3920036275i,1.3630765405310088
1535,-5597200.982472009i,1.367412082941129
1535,-5683675.241227857i,1.3885379897392622
1535,-5709171.324083255i,1.3947667551299132
1535,-5745505.103947495i,1.4036432006534654
1535,-5775589.137558142i,1.4109928154326432
1536,6.99569525167218E-6-5276215.561415779i,1.2898341695187767+1.7101816008301594E-12i
1536,-2.7152971097689292E-9-5347297.645212641i,1.3072110373617551-6.637869419489308E-16i
1536,-5426916.913139998i,1.3266749222484484
1536,-5433619.959539032i,1.328313562327631
1536,-5575389.635992232i,1.3629708599233137
1536,-5593151.79486936i,1.3673130326752536
1536,-5679674.036623426i,1.3884644322984738
1536,-5705194.715122012i,1.394703268216684
1536,-5741540.847980712i,1.403588516278543
1536,-5771654.788223743i,1.4109502301153232
1536.9999999999998,7.010387937331154E-6-5272055.200667853i,1.2896561930858819+1.7148891419362208E-12i
1536.9999999999998,-3.4531336546471E-9-5343188.046817399i,1.307056791538828-8.447095172115755E-16i
1536.9999999999998,-5422764.110203829i,1.3265227794811971
1536.9999999999998,-5429470.0498524i,1.32816319413337
1536.9999999999998,-5571329.9426699765i,1.3628651239044223
1536.9999999999998,-5589107.667394034i,1.367213931327086
1536.9999999999998,-5675677.891707918i,1.3883908389416137
1536.9999999999998,-5701223.166421435i,1.3946397533562795
1536.9999999999998,-5737581.648760726i,1.4035338070289594
1536.9999999999998,-5767725.498271384i,1.4109076300875543
1538,7.0234451460487955E-6-5267899.97679214i,1.2894781497741656+1.7192010273289779E-12i
1538,-2.734212726973082E-9-5339083.591746065i,1.3069024965744855-6.692814183638291E-16i
1538,-5418616.360853295i,1.3263705518539364
1538,-5425325.189022056i,1.3280127408423983
1538,-5567275.302225965i,1.3627593324900764
1538,-5585068.590221618i,1.367114778907836
1538,-5671686.796673386i,1.3883172096837135
1538,-5697256.668153742i,1.3945762105591497
1538,-5733627.496481176i,1.4034790729187292
1538,-5763801.257872817i,1.4108650153592526
1538.9999999999998,7.036670986312761E-6-5263749.879911192i,1.2893000396169263+1.7235583734798176E-12i
1538.9999999999998,-3.1605078531396538E-9-5334984.270125669i,1.3067481525062041-7.741330787418249E-16i
1538.9999999999998,-5414473.655300572i,1.326218239382151
1538.9999999999998,-5421185.367270394i,1.3278622024704458
1538.9999999999998,-5563225.704874816i,1.362653485696022
1538.9999999999998,-5581034.553553217i,1.3670155754287092
1538.9999999999998,-5667700.741737408i,1.3882435445398118
1538.9999999999998,-5693295.210516661i,1.3945126398357348
1538.9999999999998,-5729678.381361218i,1.4034243139618747
1538.9999999999998,-5759882.057225288i,1.410822385940321
1540,7.048175323623572E-6-5259604.900172906i,1.289121862647387+1.7274979915613574E-12i
1540,-3.4101996885609482E-9-5330890.072108524i,1.3065937593713712-8.358352115712546E-16i
1540,-5410335.983783265i,1.3260658420813283
1540,-5417050.574845333i,1.3277115790332739
1540,-5559181.140856582i,1.3625475835380088
1540,-5577005.54761536i,1.3669163209009054
1540,-5663719.717142978i,1.3881698435249508
1540,-5689338.7837333195i,1.3944490411964607
1540,-5725734.293645431i,1.4033695301724218
1540,-5755967.886551449i,1.4107797418406496
1541,7.059441664208442E-6-5255465.027750448i,1.2889436188986956+1.7313829010415649E-12i
1541,-3.3259441697287124E-9-5326800.987872147i,1.306439317207287-8.157136412760288E-16i
1541,-5406203.336564345i,1.3259133599669601
1541,-5412920.802020246i,1.327560870546678
1541,-5555141.600436655i,1.3624416260317873
1541,-5572981.562659934i,1.3668170153356207
1541,-5659743.713158439i,1.3880961066541762
1541,-5685387.37805219i,1.3943854146517456
1541,-5721795.223603738i,1.403314721564402
1541,-5752058.736099292i,1.4107370830701167
1541.9999999999998,7.070246226478509E-6-5251330.252842162i,1.2887653084039234+1.7351580684965777E-12i
1541.9999999999998,-2.9970589014975423E-9-5322717.007619171i,1.3062848260511624-7.355289714263755E-16i
1541.9999999999998,-5402075.703932054i,1.3257607930545425
1541.9999999999998,-5408796.039093869i,1.3274100770264858
1541.9999999999998,-5551107.073905703i,1.3623356131931152
1541.9999999999998,-5568962.588964092i,1.3667176587440462
1541.9999999999998,-5655772.720077405i,1.3880223339425413
1541.9999999999998,-5681440.983746989i,1.394321760211994
1541.9999999999998,-5717861.161531324i,1.4032598881518525
